topic,rank,representative_text
5,6,The available Audi PreSense 360 Safety System helps detect collision hazards all around the car and can initiate specific preventive measures ranging from a full brake application to seat adjustments and pretensioning of the safety belts.
6,1,"You can turn on favorites and show charging stations. The charging stations will be displayed on the map along with a color-coded status, if the information is available."
6,2,"Don't start or move the vehicle while it's charging. When the charge level display in the car, and often on the charger too, shows 100%, the battery is fully charged."
6,3,"You'll find 240 volt charging at most public charging stations, and you might have had a 240 charging station professionally installed in your home."
6,4,"If you then look at the side, you can clearly see a little bit more power."
6,5,This is full throttled and fully connected. This is a new way to drive with high-speed charging capabilities and with the full backing of a global dealer network.
6,6,"But in most cases of everyday life, you will not wait for a car to charge at all, because you will regain power at locations that you never filled up your gas tank, and that's at home and at work."
7,1,"Okay, so we're looking up on the underside of the battery pack."
7,2,"One is the high-density lithium-ion battery, which is a requirement of electric vehicles."
7,3,cars you know the battery race continues here you are breaking away with lithium iron yeah it's the same family of chemistry in the lithium chemistry but we're using lithium iron instead of lithium ion or lithium ion phosphate so we give up a little bit of power density but it's a much safer battery pack we don't have runaway thermal issues if you'll remember a few years ago there were laptop computers that were catching on fire that was
7,4,Electricity is being taken from the braking of the motors. It's turning the wheel into an electric generator and capturing that energy which causes you to slow down.
7,5,"The 48-volt mild hybrid system accomplishes this and more, such as a smoother start-stop system than previously possible."
7,6,We assist the engine every time we have enough energy in our battery.
8,1,"Hello, I'm Jane, a product specialist for Infiniti, and this is the all-new Infiniti Q50."
8,2,"The Q50 is the latest premium performance sedan from Infiniti. The Q50 is longer, lower, and wider than Infiniti's previous G37 sedan, and it has world's first advances for the luxury market."
8,3,"So ladies and gentlemen, please welcome the new Infiniti Q50. Here it is, the new Infiniti Q50."
8,4,And now it's time for the next game changer. It is the start of a new era and it's an Atron full stop.
8,5,"Yeah, that's it. Now we come to the end. That's all I have to say about Schoen."
8,6,"While Nissan has already had a hybrid on the market for a few years in the U.S., their upmarket Infiniti brand didn't have an alternative fuel vehicle of their own."
