topic,rank,representative_text
8,1,"As a critical pillar in Hyundai's electrification strategy, IONIQ 5 introduces our first dedicated battery electric platform, the eGMP, or Electric Global Modular Platform. We are thrilled to introduce you to Hyundai's first ever IONIQ 5. Our design mission with IONIQ 5 was to create a new mobility experience for the next generation."
8,2,"Rather, it's a challenge in search of a novel solution. Ladies and gentlemen, this is why it's my great pleasure to introduce the 2017 Hyundai IONIQ model lineup. Introducing the 2017 Hyundai IONIQ Plug-in Hybrid, the Hyundai IONIQ Hybrid, and the IONIQ Electric."
8,3,Let's just say it. Let's put it out there. What makes Hyundai IONIQ stand out?
9,1,"And on behalf of KIA India, I'm absolutely thrilled and honored to welcome you this afternoon. Today, I will take you to a futuristic world that has innovation leading us to a sustainable future, a world that we are all extremely proud of, a world of the KIA EV6. Now, before we deep dive into the Kia EV6, it's important to understand Kia's plan for a sustainable future."
9,2,"I'm pleased to announce that with the Kia EV6, we will demonstrate and provide a new level of experience through our engineering strength. We truly believe that the Kia EV6 is an embodiment of the new Kia. Now, I would like to go over some of the finer nuances of the Kia EV6, beginning with the most important one, the electrifying performance on offer."
9,3,"Kia India is developing an India-centric EV in Albi home ground up to be launched by 2025. We are starting our EV journey in India by launching nothing but the best from Kia, the EV6. Our globally-awarded EV6 is the most exciting and sophisticated product from Kia yet."
10,1,"The new Nissan Leaf is not an EV. Sure, it's driven by an all-electric zero-emission powertrain. But to call the new Nissan Leaf just an EV does not tell the full story of the ingenuity behind this vehicle."
10,2,It is my honor to officially announce the launch of the new Nissan LEAF in Japan with all of you here. Nissan takes pride in being an EV pioneer along with the owners of the current Nissan LEAF. The launch of the new Nissan LEAF comes when the entire world is shifting toward era of EV.
10,3,"The new Nissan LEAF represents technological Nissan or Nissan of Technology, which is a traditional term associated with Nissan in Japanese language, and this is definitely a great opportunity of which we intend to make the most. While the current Nissan LEAF was the EV pioneer, the new Nissan LEAF has the real potential to become the core of the company. The new Nissan Leaf will drive the Nissan Intelligent Mobility forward."
11,1,"First, the audio multimedia systems feature Apple CarPlay compatibility, which allows drivers to connect an iPhone and access Apple Music, Maps, Messages, and other favorite apps. Additionally, Android Auto compatibility lets drivers connect mobile devices with ease, while Amazon Alexa functionality is also offered on every model, as well as a complimentary three-month all-access trial to SiriusXM. Plus, most grades come complete with an eight-inch touchscreen."
11,2,"We have a wireless charger in the center console area, and you can put your phone on the charger, you can pair it with the Apple CarPlay or Android Auto system, and no wires required have access to the Android Auto or Apple CarPlay environments. Alright, so these roads have been extremely fun, but I'm ready to get back to the track and really put this car to the test. It sounds great."
11,3,"including standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from the iPhone. Next, Android Auto compatibility makes it easy for Android users to stay connected to Android devices, while Amazon Alexa connectivity keeps Amazon's digital assistant just a question away. Plus, there's even a standard three-month Sirius X and Platinum Plan trial subscription to more than 300 radio channels accessible throughout the country."
12,1,"In 10 years from now, we will talk about e-tron the same we talk about Quattro. It will be in the heart, in the essence, in the DNA of Audi. I think at Audi we are obsessed with making things perfect."
12,2,"Doing them right when the time is right. And the time is right for electric to go Audi. I assure you, with the Audi e-tron you won't miss a thing."
12,3,"Very cool. So there you have it. Electric is going everywhere, every day, with the Audi e-tron."
13,1,"Safety is further enhanced by a CN95 air filtration system, offering medical-grade face mask levels of air purification. The center console features a large rotating touchscreen, which replaces several physical buttons and switches, and can display important functions in portrait and landscape mode. The E6 also features a Dragonheart center console control panel, which allows the driver to operate the vehicle without taking their eyes off the road, improving safety."
13,2,"Inside, there's an evolution of the famous operating system MBUX. It now allows you to control the vehicle functions even easier and more intuitively. All in all, you can control MBUX not only by this touchscreen, but by the touch control buttons and via voice control."
13,3,"The Mercedes-Benz User Experience, or MBUX for short, is amazing in that it comes with four different control options. The touchpad in the center console, the touch screen in the middle display, touch control buttons on the steering wheel, or simply by voice. Hey Mercedes."
14,1,"The ES is offered with the Lexus' brand new 4th generation self-charging hybrid powertrain and this powertrain boasts outstanding fuel efficiency, high response and a smooth acceleration feel. Safety is key for any Lexus model and the all-new ES comes with the latest suite of active safety features. The second generation Lexus Safety System Plus."
14,2,"Ladies and gentlemen, please welcome Head of Lexus Europe, Pascal Rouche. Good morning, ladies and gentlemen. It's really my pleasure to welcome you to Lexus."
14,3,Bye bye. Bye. Here's a first for both the NX and Lexus.
15,1,"Yeah, actually if you go to our website we'll link you into a lot of educational material both on chargers and other electric cars and everything else because at this point I believe a rising tide lifts all boats. I want all electric car companies to do well so I'm not going to slam anybody else's electric car."
15,2,I just think it's incredible that there really are so many electric cars in Norway and that they're really forerunners in electric mobility. Why is that? I think most politicians around the world understand that the oil age is going to end.
15,3,They don't know that there actually were electric cars before gas cars. And don't know that you guys dedicated your lives to coming up with something better than battery electric vehicles over a hundred years ago. So you've got to be wondering why we've come full circle.
16,1,"But let's just say it'll be the most powerful Elantra ever. You know, it's such a huge story with the Elantra and so much excitement around the brand. Congratulations."
16,2,"This is the all-new, completely redesigned 2021 Hyundai Elantra. Elantra is our popular compact sedan, and in its seventh generation, as you'll see, the upgrades and enhancements are everywhere. Now, the Elantra won't be available on dealership lots until late fall this year."
16,3,That's a lot more. The 2018 Hyundai Elantra.
17,1,"Available LED headlights have an undercut design with a more focused look, while the single-frame grille adds depth to the front. The hood and shoulder design provide a more aggressive feel, while other design decisions, including the door-mounted exterior mirrors, enhance the aero acoustics of the A4, allowing for a more pronounced, quiet ride."
17,2,"You'll see a new lower profile cascading grille with a more pronounced horizontal separation between the upper and lower grille, standard dual LED projector headlights that more seamlessly integrate into the overall design, and standard LED daytime running lights all combining for a sleeker, more modern appearance. Plus you get a more aerodynamic design helping to improve fuel efficiency and adding highway speed driving stability."
17,3,"The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood. Similar to the show cars from the last few years, the V-Motion grille is dominant and sets up the big rearward movement of the design itself, drawing your eyes from this wonderful hood through the cabin and off the rear of the car."
18,1,"Why is that so? Why is the Mercedes-Benz S-Class so special to you? For us at Mercedes-Benz, the Mercedes-Benz S-Class is hugely important."
18,2,"I can't wait for our customers to realize just how much of a coming-home feeling this new Mercedes-Benz S-Class is. When designing a Mercedes-Benz, we always focus on the desires of our customers. And this applies especially to the Mercedes-Benz S-Class."
18,3,"Absolutely. First of all, the Mercedes-Benz S-Class. We have the all-new Mercedes-Benz S-Class here and the Mercedes-Benz S-Class is the first model that comes to mind as a consumer when we speak of the brand of Mercedes-Benz."
19,1,"Thanks, Mercedes. In addition, there are some very useful smart navigation features. The head-up display ensures that you don't have to take your eyes off the road by taking all driver-relevant information such as directions and your current speed and projecting it directly into your field of view."
19,2,"including the Google Assistant, Google Maps, and Google Play. Google Maps helps you reach your next destination faster with real-time traffic info, automatic rerouting, and voice control. Naturally, Google Maps also offers a lot of useful information for an electric car, including range, estimated battery level when you reach your destination, and finding charging stations along your route."
19,3,"including the Google Assistant, Google Maps, and Google Play. Google Maps helps you reach your next destination faster with real-time traffic info, automatic rerouting, and voice control. Naturally, Google Maps also offers a lot of useful information for an electric car, including range, estimated battery level when you reach your destination, and finding charging stations along your route."
20,1,"Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius. The latest Prius generation offers six distinct takes on the hybrid experience. First, L-Eco boasts the best fuel efficiency of the entire Prius lineup, while also having the lowest starting price."
20,2,"Add in that every new Prius Prime includes ToyotaCare, which provides 2 years or 25,000 miles of scheduled maintenance, along with enhanced 3-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile Hybrid Battery Warranty. And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime."
20,3,"And whether you prefer Prius LE AWD E's off-road utility or Prius Prime's electric capabilities, there's no shortage of reasons why the Prius family is home to the world's most iconic hybrids. Both Prius and Prius Prime are offered at an approachable starting price, with a strong track record for long-term cost estimates and overall resale value. Factor in the two-year, 25,000-mile ToyotaCare no-cost maintenance plan with enhanced three-year roadside assistance, as well as exceptional hybrid warranty coverage."
21,1,"Polestar stands for pure, progressive performance. And this is our first product, Polestar 1."
21,2,"So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute. But there's another reason why this is a truly exciting day for us here today, because Polestar 2 is our first pure electric Polestar, a true battery electric car. Now, Polestar is dedicated to electric mobility."
21,3,"Bye-bye, Dumbo. Next, let me show you around inside Polestar 2. Now, how do we get in?"
22,1,Hello and welcome to Ask Porsche. I'm Alex and this is Andy from Porsche. Hi.
22,2,Hello and welcome to Ask Porsche. I'm Alex and this is Andy from Porsche. Hi.
22,3,"The new Panamera. The new Panamera 4. From the exterior, the new Panamera models are immediately recognizable as Porsche vehicles, and therefore as sports cars."
23,1,"First, you can hold it about a foot or so up and just release it, and it locks. The other technique is kind of like the way I'll show you how to close the trunk. It's just one at a time."
23,2,Those always need to point towards the front of the vehicle. So the first thing we're going to do is we're going to open the door. You always want to install the soft top with the door open so that it doesn't mess with the seals because you want it to seal properly.
23,3,"To open them, use this release towards the top of the door frame. This design provides a wide entry area since the B-pillar is integrated into the door, eliminating the need for a traditional B-pillar on the vehicle's frame. And please note that the driver and front passenger seat belts are located on the rear door and when shutting the vehicle's doors, the rear door must be closed first before the front door can be shut."
24,1,"Looking at this great view, it's hard to imagine that it all started out as one man's dream, his true passion. From the McLaren Family Garage, here to MTC, the McLaren Technology Centre in the heart of England, it's fair to say we've come a long way. This is where it all started, Bruce's first race-winning car."
24,2,The Gutt Cancer Foundation. Well ladies and gentlemen we are all let you know we're going to have to get a bit of a round of applause and point out that covers off a couple of specs on this car Ferrari made the LaFerrari three years ago and LaFerrari stands for E Ferrari it was the definitive Ferrari supercar when they came up with their 70th anniversary they wondered how they could top the LaFerrari one suggestion was to take the top off it and turn it into a convertible this is a 950 horsepower car it has a hybrid engine it goes from zero to 103 seconds ladies and gentlemen so if you want to get around the Royal Oak roundabout or change lanes on the Auckland motorway this is the car to do it in and it's got a 6.3 litre V12 delivery engine and as I say 950 horsepower powertrain enough for me but if you're gonna make some noise if you want to see the La Ferrari Aperta that covers off this 10 million dollar supercar ladies and gentlemen let's have a look This is a rare opportunity.
24,3,"But we finished the race, we won our category and especially we had fun. That is the most important. Well, you know, I think Ferrari on racing is always Ferrari, but obviously these times are hard, are tough, because Mercedes, it seems that they have a good car."
25,1,"The 21-inch Cayenne sport wheels provide accuracy when steering and stability when quartering at speed. Another special standard feature on the new Cayenne GTS is Porsche Active Suspension Management PASM combined with steel spring suspension. The benefits are lighter weight and a perfect road setup, whatever the road conditions."
25,2,What I'm really pleased to say it's a mission we've absolutely delivered on with Artura weighing just 1498 kilos DIN and just 1395 kilos DR. We've retained our hydraulic steering system for the best possible feedback. This is matched with an all-new stiff suspension system. It really maximises control of the contact patch and this is paired with our proactive damping control to provide absolute fantastic body control but without compromising ride comfort.
25,3,We've retained our hydraulic steering system for the best possible feedback This is matched with an all-new stiff suspension system. It really maximises control of the contact patch and this is paired with our proactive damping control to provide absolute fantastic body control but without compromising ride comfort. And a first for McLaren is the use of an E-differential.
26,1,"Camry's cabin not only offers a striking design, but also a good deal of comfort and convenience offerings, like highly adjustable front seats on all grades, SofTex-trimmed sport seating on SE grades, and leather-trimmed seating on XLE and XSE grades. And like its exterior, Camry TRD's interior is far from subtle, featuring red contrast stitching and accents. a unique MID startup animation, and TRD accessories and logos throughout."
26,2,"And thanks to its compact design, the Camry all-wheel drive grades are comparable with the front-wheel drive models when it comes to passenger space, cargo capacity, ride comfort, and agility. Plus, Camry's available all-wheel drive doesn't come at the cost of performance. For instance, Camry XSE All-Wheel Drive's 205 horsepower easily outpowers midsize alternatives like the Nissan Altima."
26,3,"Meanwhile, Camry TRD's purposeful features also dish out head-turning looks, with 19-inch TRD matte black wheels that reduce unsprung weight, and a gloss black aero kit with a raised black rear spoiler that improves high-speed stability. Inside Camry, the spacious, driver-oriented interior is designed for functionality and style, but also offers a great deal of comfort and convenience, starting with the soft-text-trimmed sports seating on SE grades and leather-trimmed seating on XLE and XSE grades."
27,1,"Select grades also come with trials to Toyota's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect. This audio multimedia experience is elevated by the available 11-speaker JBL Premium Audio System, which plays everything from road trip playlists to favorite podcasts in high fidelity. Highlander's tech is complemented by top-class driver assistance, bringing added convenience to every drive."
27,2,"All grades also come with trials to Toyota's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect. Limited Nightshade and Platinum grades elevate the multimedia experience even higher with an 11-speaker JBL premium audio system. while five USB ports, and a standard Qi-compatible wireless charger keeps mobile devices charged on long trips."
27,3,"Prius Prime also includes trials to Toyota's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect. which includes cloud navigation, destination assist, and intelligent assistant. On the other hand, an available 8-speaker JBL Premium audio system plays tunes with vivid clarity, while six USB-C ports and available slotted Qi-compatible wireless charging keep mobile devices charged on long road trips."
28,1,"For better on-road handling, RAV4 also has that covered thanks to a standard sport-tuned suspension on the Hybrid SE and Hybrid XSE grades. What's more, RAV4 has three available all-wheel drive systems, including Dynamic Torque Vectoring All-Wheel Drive on the TRD Off-Road, Limited and Adventure grades, as well as Electronic On-Demand All-Wheel Drive on Hybrid EV and Prime Plug-in Hybrid EV grades."
28,2,"Next, there are two gas-exclusive options, Adventure and TRD Off-Road, both showcasing RAV4's rugged side. Similarly, the hybrid line of RAV4 sees the return of Hybrid SE and Hybrid XSE, and for 2023, the all-new Hybrid Woodland Edition, the first hybrid grade with an off-road focus. All told, this fifth-generation RAV4 family consists of 17 different options, or 90, counting the two plug-in hybrid grades of the related RAV4 Prime model."
28,3,"And with improved power and fuel economy, the RAV4 Hybrid is defying expectations. And now, let's just do it again. The 2021 RAV4 Prime is the most powerful RAV4 ever."
29,1,"So now it's time to take a closer look at what it's like actually living with the Mustang Mach-E. And over to my first guest, he is the Mustang Mach-E product manager for Europe, a fellow EV enthusiast, and someone who's been very fortunate to actually live with the Mustang Mach-E prototype for a while now. Stefan Tiniman, welcome, so good to see you. Hello, Nikki."
29,2,"And, you know, the other thing is, is that once we knew we were really able to deliver Mustang performance, then the let's say the excitement, the enthusiasm around delivering our first all electric vehicle as a Mustang just got turned to 11. what we first called Mustang-inspired proposals, but these actually became very quickly the Mustang Mach-E proposals."
29,3,I got my first Mustang before I could even drive. My Mustang is everything to me. I grew up in Vietnam and my first image of a Mustang was everything that I thought was great about America.
30,1,"The EQS is the first all-electric luxury saloon from Mercedes EQ and for me it's got it all. Technology, design, power and connectivity. But more importantly the EQS is going to be a game changer for electric vehicles in the luxury segment."
30,2,My name is Amanda Stretton and today we've got something very special for you. So join me as I get to spend the day with the new EQE by Mercedes EQ. The EQE is the latest all electric business saloon by Mercedes EQ with its cutting edge exterior design and truly pioneering levels of engineering.
30,3,"So EQE, newest member of Mercedes EQ. Walking up to it, it's a familiar design language. Yeah, the EQS and the EQE share a lot of the same design signatures that make it true to the Mercedes EQ family."
31,1,"If you're looking for better fuel economy that doesn't come at the expense of power, there's an available EcoTrim with a 1.4-liter turbo GDI engine with 7-speed dual-clutch transmission. that delivers 128 horsepower and up to an EPA-estimated 40 miles per gallon highway."
31,2,"Now, Elantra N Line steps up the performance with a 1.6-liter turbocharged four-cylinder engine that produces 201 horsepower and 195 pound-feet of torque with a seven-speed dual-clutch transmission. And finally, Elantra Hybrid. It's an advanced hybrid powertrain with a 1.6-liter four-cylinder engine and 32-kilowatt electric motor, combining for a 139-horsepower output."
31,3,"If you're looking for better fuel economy that doesn't come at the expense of power, there's an available EcoTrim with a 1.4-liter turbo GDI engine with 7-speed dual-clutch transmission that delivers 128 horsepower and up to an EPA-estimated 40 miles per gallon highway. For more driving excitement, the Elantra Sport is powered by our 1.6-liter turbo GDI inline 4-cylinder engine. which produces 201 horsepower and is paired with a traditional 6-speed manual gearbox standard."
32,1,"Highlander doesn't come up short on comfort offerings either, with standard three-zone automatic climate control, several available features like heated and ventilated front seats, heated second-row seats, and heated steering wheel, and even standard leather-trimmed seating on Limited and Platinum grades. Plus, XSE offers two unique interior choices, including a red and black two-tone leather-trimmed interior with red stitching."
32,2,"Highlander doesn't come up short on comfort offerings either, with standard three-zone automatic climate control, several available features like heated and ventilated front seats, heated second-row seats, and heated steering wheel, and even standard leather-trimmed seating on Limited and Platinum grades. And speaking of seating, Highlander XLE, Limited, and Platinum all now include a front passenger seat with 8-way power adjustability for 2022."
32,3,"Toyota Grand Highlander redefines the family SUV with its clean, sophisticated design and impressive versatility. Featuring seating for up to eight and intuitive technologies that are designed to help keep everyone connected and safe on the road, Grand Highlander is all about making the journey fun and easy. Together with its three responsive powertrain choices, as well as the added traction of available all-wheel drive, Grand Highlander is the ultimate SUV."
33,1,"The rear has this beautiful feature with this horizontal aluminium bar in the rear lights, which have the biggest volume on the corner, so it's really stretching the car. We have many design departments for headlights or for the rear lights or for the rims. And everyone, I want to have this angle, I want to have this angle, and in the end it needs to have a nice sculpture which is fitting together."
33,2,"Some fans also in the community, you know, they don't know when do you really get those blue icon lights and what is actually about it. It's very easy you get it if you have laser light it's always written on the side BMW laser that means you have laser light with a length of nearly five to six hundred meters. Is it dangerous because laser?"
33,3,"The LED headlights are standard and can be upgraded with these adaptive LED headlights, taking over the blue accents of BMW laser light which is emitted. In addition, separated fog lights are no longer necessary. The new light signature with two upside down L's makes for a dynamic look."
34,1,"And tell me about the differences here on the front end. Yeah, so if you look at the front of the 580, you've already got the AMG line, which is quite sporty. But the front of the AMG EQS, we've got the AMG specific grille, which is an identity that we carry across the entire AMG portfolio."
34,2,The AMG of AMGs.
34,3,You are a GT owner yourself. Yeah. So you're the perfect person to ask what is the essence of an AMG GT and what makes this so AMG?
35,1,"This comprehensive safety story means Crown is ready for whatever the day may bring. The all-new 2023 Toyota Crown takes Toyota's commitment to quality, durability, and reliability, and elevates it to new heights. With its standout design, premium experience inside the cabin, and exhilarating performance on the road, Toyota Crown is the sedan reimagined."
35,2,"When all of these factors are taken together, it's clear that Toyota Crown is a leader, a uniquely electrified flagship with style, performance, and technology. Want to learn more? Discover Toyota Crown today on toyota.com."
35,3,"Take all of these factors together and it's clear that Toyota Crown is a leader, an electrified flagship packed with style, performance, and technology. Discover Toyota Crown today at toyota.com."
36,1,"The Neeshawn Edition, by the way, excuse me, the Midnight Edition for the Rogue is available in multiple colors. Head to Nissan.com if you want to check those out and get more details on exactly what the Rogue offers. What I love about it, again, is crossover of the year."
36,2,"For more than 96 years, Chrysler has been an iconic American automotive brand and one that's earned a reputation for bringing breakthrough innovation and creating new segments for the mainstream market that delight customers. As you know, Chrysler created the minivan segment nearly 40 years ago and has created many award-winning products throughout that time. The Chrysler Pacifica Hybrid was the first and remains the only plug-in hybrid minivan."
36,3,"The all-new 2017 Chrysler Pacifica delivers on everything our owners said they needed, wanted, and more. So let's take a minute to unbox the innovations you'll find in the new Pacifica. From any angle, it's easy to see that Pacifica makes a bold styling statement."
37,1,"One is the high-density lithium-ion battery, which is a requirement of electric vehicles. There are 88 lithium-ion cells mounted on the car, which provide a cruising range of up to 155 km in optimal conditions on a single charge. The other is the newly designed electric motor that is very light and compact, yet offers excellent power output."
37,2,"The i3's lithium-ion battery pack is encased in a sealed aluminum shell that is fully integrated into the underbody of the vehicle. The battery consists of eight separate modules, each consisting of 12 lithium-ion cells. Each of the eight modules weighs approximately 55 pounds for easy shipping and storage."
37,3,"cars you know the battery race continues here you are breaking away with lithium iron yeah it's the same family of chemistry in the lithium chemistry but we're using lithium iron instead of lithium ion or lithium ion phosphate so we give up a little bit of power density but it's a much safer battery pack we don't have runaway thermal issues if you'll remember a few years ago there were laptop computers that were catching on fire that was the lithium ion chemistry because they continue to be used today yeah and if If you have a proper cooling system, you're fine."
38,1,"Now our US R&D team is leading a global group in developing the NSX, which will be produced at our new performance manufacturing center in Ohio. The original Acura NSX debuted in America 25 years ago next month. NSX stood for new sports experimental, but when it proved to be no experiment, the name stuck and NSX redefined what it meant to be a supercar."
38,2,"here, the all-new Acura NSX. NSX Global Development Leader, Ted Klaus. Morning everyone, it's been my honor to lead development for this new Acura supercar, the next generation NSX."
38,3,To me the NSX is an epiphany. This car is awesome.
39,1,"Candy is entering an exciting new chapter. Making electric cars more affordable on price, more available on production and more accessible via local dealerships has always been our three goals to make Kandy electric cars become a household necessity. On this historic day, we hope that you will become one of the first to reserve your place at the front of the line toward owning and driving your Kandy electric vehicle in 2020."
39,2,"Today, after much anticipation and with growing market demand, we are proud to announce that Candy is enabling the auto evolution for all with its line of affordable electric vehicles. We are excited to present the first two models of our electric vehicles, K23 and K27, for the U.S. market, which are currently the most affordable models on the market. Today we mark this event as a milestone for the new era."
39,3,"Both the Kandy K27 and K23 models are under $20,000 for the first 2,000 pre-orders. If you want to get the best pricing and be one of America's first to drive a Kandy, make sure to head to drive.kandyamerica.com to put in your $100 fully refundable deposit to lock in your spot. If you're still on the fence, maybe learning about how they drive will help you decide."
40,1,"Yeah, for all you drivers out there. But in case you've all missed it, here's a quick look at the hot new Corolla Hatch. So Corolla Hatchback is a great addition to our lineup, and it's the first of the dynamic trio of the Corolla family."
40,2,"This is the all-new 12th generation Toyota Corolla. Building on over 50 years of sales in the US, the 2020 Corolla sedan joins Corolla hatchback as one of the latest vehicles to be enhanced by the Toyota New Global Architecture, or TNGA. This new platform helps enhance Corolla's fun-to-drive charisma, while still maintaining the model's legendary value and dependability."
40,3,"Classic grades include the modern L, LE, and XLE, along with the sporty SE and XSE grades, while Corolla Hybrid has the most efficient EPA-estimated fuel economy ratings in the lineup. Meanwhile, the Nightshade Edition intensifies Corolla SE's appearance with a range of blacked-out accents, while the Apex Edition amplifies the style and performance for both SE and XSE grades. So, now more than ever, Corolla's different flavors mean genuinely different vehicles, but they all possess the same undeniable attitude."
41,1,"and really taking stock of what are the assets, what does the Infinity brand stand for, what does the organization look like, what resources we have and then I look forward to working with you Ben and the other men and women on the Infinity team globally to begin to craft our vision for where we want to take infinity and and how to get there so Perhaps I can get more specific answers to that question a few months from now well this one you may have to get a little more specific on because you know we have one from Keith Johan where he's asking What is your favorite infinity model so far?"
41,2,"This year, Infiniti's team unveiled the new Infiniti Emerge E concept for the first time in North America. It's the brand's hybrid sports car that gives a glimpse into Infiniti's future. It's impressive lines."
