topic,run,model,keywords,label,normalized_label,error
0,19,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Automotive Interior Design,automotive interior design,
0,20,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Vehicle Interior Design,vehicle interior design,
0,21,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Vehicle Interior Design,vehicle interior design,
0,22,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,23,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,24,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Automotive Interior Design,automotive interior design,
0,25,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,26,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Interior Design,premium car interior design,
0,27,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Design Interiors,luxury car design interiors,
0,28,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Automotive Interior Design,automotive interior design,
0,29,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,30,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Design Interiors,premium car design interiors,
0,31,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,32,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Automotive Interior Design,automotive interior design,
0,33,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Interior Design,premium car interior design,
0,34,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,35,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Design Interiors,premium car design interiors,
0,36,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Design Interiors,premium car design interiors,
0,37,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Design and Interior,luxury car design and interior,
0,38,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Automotive Interior Design,automotive interior design,
0,39,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,40,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Vehicle Interior Design,vehicle interior design,
0,41,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Vehicle Interior Design,vehicle interior design,
0,42,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Vehicle Interior Design,premium vehicle interior design,
0,43,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,44,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Car Interior Design,car interior design,
0,45,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Vehicle Interior Design,luxury vehicle interior design,
0,46,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car,premium car,
0,47,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,48,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Vehicle Interior Design,luxury vehicle interior design,
0,49,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Luxury Car Interior Design,luxury car interior design,
0,50,openai/gpt-5.5,"bmw, new, car, design, rear, interior, lexus, volvo, class, seat",Premium Car Interior Design,premium car interior design,
1,1,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Powertrains,electric vehicle powertrains,
1,2,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,3,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,4,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,5,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Performance,ev charging and performance,
1,6,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,7,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Powertrains and,ev powertrains and,
1,8,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,9,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Powertrain and Charging,ev powertrain and charging,
1,10,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Power,ev charging and power,
1,11,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,12,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Charging,electric vehicle charging,
1,13,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,14,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Powertrains and Charging,ev powertrains and charging,
1,15,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,16,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,17,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,18,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,19,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Powertrain and Charging,ev powertrain and charging,
1,20,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Powertrains,electric vehicle powertrains,
1,21,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Power,ev charging and power,
1,22,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Powertrains,electric vehicle powertrains,
1,23,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Powertrains and Charging,ev powertrains and charging,
1,24,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Powertrains,electric vehicle powertrains,
1,25,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Powertrains,electric vehicle powertrains,
1,26,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Hybrid EV Powertrains,hybrid ev powertrains,
1,27,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Powertrains and Charging,ev powertrains and charging,
1,28,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Performance,ev charging and performance,
1,29,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Performance,ev charging and performance,
1,30,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Power,ev charging and power,
1,31,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,32,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,33,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Powertrain,electric vehicle powertrain,
1,34,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Power,ev charging and power,
1,35,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Hybrid EV Powertrains,hybrid ev powertrains,
1,36,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,37,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Powertrains,electric vehicle powertrains,
1,38,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Electric Vehicle Powertrains,electric vehicle powertrains,
1,39,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,40,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Powertrains and Charging,ev powertrains and charging,
1,41,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and,ev charging and,
1,42,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,43,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Power,ev charging and power,
1,44,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV,ev,
1,45,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Hybrid Electric Powertrains,hybrid electric powertrains,
1,46,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
1,47,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",Hybrid EV Powertrains,hybrid ev powertrains,
1,48,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Performance,ev charging and performance,
1,49,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrains,ev charging and powertrains,
1,50,openai/gpt-5.5,"charging, electric, kia, charge, battery, power, ev, range, vehicle, car",EV Charging and Powertrain,ev charging and powertrain,
2,1,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,2,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Interface and Assistance,driver interface and assistance,
2,3,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Display and Assistance,driver display and assistance,
2,4,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,5,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Controls and Displays,driver controls and displays,
2,6,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance Displays,driver assistance displays,
2,7,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and,driver assistance and,
2,8,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,9,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,10,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Controls and Infotainment,driver controls and infotainment,
2,11,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Controls and Displays,driver controls and displays,
2,12,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,13,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",In,in,
2,14,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Vehicle Infotainment and Driver Assistance,vehicle infotainment and driver assistance,
2,15,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,16,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver,driver,
2,17,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver,driver,
2,18,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,19,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,20,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Controls and Displays,driver controls and displays,
2,21,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Controls and Infotainment,driver controls and infotainment,
2,22,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Controls,driver assistance and controls,
2,23,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,24,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Infotainment and Driver Assistance,infotainment and driver assistance,
2,25,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver,driver,
2,26,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver,driver,
2,27,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,28,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,29,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,30,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,31,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",In-Vehicle Driver Assistance Interfaces,in-vehicle driver assistance interfaces,
2,32,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Controls and Displays,driver controls and displays,
2,33,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,34,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Inf,driver assistance and inf,
2,35,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Interface and Infotainment,driver interface and infotainment,
2,36,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,37,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,38,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,39,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,40,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,41,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,42,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,43,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assist and Displays,driver assist and displays,
2,44,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,45,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Infotainment,driver assistance and infotainment,
2,46,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,47,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
2,48,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance,driver assistance,
2,49,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance Displays,driver assistance displays,
2,50,openai/gpt-5.5,"steering, control, car, display, driver, assist, navigation, driving, parking, screen",Driver Assistance and Displays,driver assistance and displays,
3,1,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,2,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Show Episodes,automotive show episodes,
3,3,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Show Episodes,automotive show episodes,
3,4,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,5,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive,automotive,
3,6,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Autom,autom,
3,7,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive,automotive,
3,8,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,9,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,10,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive,automotive,
3,11,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Auto Show Conversations,auto show conversations,
3,12,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Show Episodes,automotive show episodes,
3,13,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Show Conversations,automotive show conversations,
3,14,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,15,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Media Episodes,automotive media episodes,
3,16,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Show Banter,automotive show banter,
3,17,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Autom,autom,
3,18,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Show Episodes,automotive show episodes,
3,19,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Media Episodes,automotive media episodes,
3,20,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,21,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Media,automotive media,
3,22,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast,automotive podcast,
3,23,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Show Episodes,automotive show episodes,
3,24,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,25,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Ban,automotive podcast ban,
3,26,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast,automotive podcast,
3,27,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Banter,automotive podcast banter,
3,28,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Media Episodes,automotive media episodes,
3,29,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Autom,autom,
3,30,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Show Episodes,automotive show episodes,
3,31,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,32,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Ban,automotive podcast ban,
3,33,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Lifestyle Episodes,automotive lifestyle episodes,
3,34,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Conversations,automotive podcast conversations,
3,35,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Banter,automotive podcast banter,
3,36,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Media,automotive media,
3,37,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,38,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Autom,autom,
3,39,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,40,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,41,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Banter,automotive podcast banter,
3,42,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Casual Auto Conversations,casual auto conversations,
3,43,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,44,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive,automotive,
3,45,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,46,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Episodes,automotive podcast episodes,
3,47,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Podcast Episode Banter,podcast episode banter,
3,48,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Media Episodes,automotive media episodes,
3,49,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Podcast Conversations,automotive podcast conversations,
3,50,openai/gpt-5.5,"auto, episode, season, press, fun, got, enjoy, absolutely, hello, new",Automotive Media Episodes,automotive media episodes,
4,1,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ EV Lineup,hyundai ioniq ev lineup,
4,2,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ EV Lineup,hyundai ioniq ev lineup,
4,3,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ EV Lineup,hyundai ioniq ev lineup,
4,4,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ Lineup,hyundai ioniq lineup,
4,5,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ EV Lineup,hyundai ioniq ev lineup,
4,6,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ EV Lineup,hyundai ioniq ev lineup,
4,7,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ Lineup,hyundai ioniq lineup,
4,8,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ Electrified Lineup,hyundai ioniq electrified lineup,
4,9,openai/gpt-5.5,"ioniq, hyundai, charging, electric, platform, vehicle, rear, ev, limited, xrt",Hyundai IONIQ EV Lineup,hyundai ioniq ev lineup,
