dataset_row,title,source_row,paragraph_id,sentence_start_id,sentence_end_id,sentence_count,word_count,char_count,topic,document,sentence
21,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,22,24,24,1,48,248,0,"So when talking to the car, you could tap that button and tell the vehicle to call somebody specific from your contact list, or you could tap that button and say, take me to and then say the full address, you know input into the navigation for you.","So when talking to the car, you could tap that button and tell the vehicle to call somebody specific from your contact list, or you could tap that button and say, take me to and then say the full address, you know input into the navigation for you."
22,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,23,25,25,1,32,179,0,Otherwise you could press and hold that button until your phone took texting by specific from your contact list or to have your phone read a recent text message that you received.,Otherwise you could press and hold that button until your phone took texting by specific from your contact list or to have your phone read a recent text message that you received.
23,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,24,26,26,1,23,121,0,Now you also have a phone button here on the steering wheel and you'll use that to answer the phone while you're driving.,Now you also have a phone button here on the steering wheel and you'll use that to answer the phone while you're driving.
24,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,25,27,27,1,13,66,0,Contrarily you can hit that same phone button to end a phone call.,Contrarily you can hit that same phone button to end a phone call.
25,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,26,28,28,1,35,168,0,"Now you also have this little asterisk and if I press and hold this, this list that pops up on the screen are going to be all functions that you can map to this button.","Now you also have this little asterisk and if I press and hold this, this list that pops up on the screen are going to be all functions that you can map to this button."
26,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,27,29,29,1,22,120,0,So most commonly you see this used for your heated steering wheel or your garage door opener once you have that program.,So most commonly you see this used for your heated steering wheel or your garage door opener once you have that program.
27,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,28,30,30,1,23,94,0,I want to say thank you for taking time out of your day to take a look at the 2020 Q7 with us.,I want to say thank you for taking time out of your day to take a look at the 2020 Q7 with us.
28,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,29,31,31,1,25,123,0,And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you.,And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you.
29,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,30,32,32,1,17,87,0,"Once again, my name is Tony Brown, Audi technologist, and I hope to hear from you soon.","Once again, my name is Tony Brown, Audi technologist, and I hope to hear from you soon."
30,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,1,1,1,1,13,76,0,"We defined this model in a really early stage, more exclusive, more elegant.","We defined this model in a really early stage, more exclusive, more elegant."
31,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,2,2,3,2,32,168,0,"We wanted to have an even more higher positioned car. My name is Markus Ivele, and I'm part of the Audi Sport product marketing team and responsible for the Audi RS Q8.","We wanted to have an even more higher positioned car. My name is Markus Ivele, and I'm part of the Audi Sport product marketing team and responsible for the Audi RS Q8."
32,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,3,4,5,2,18,90,0,We want to have all typical RS genes in the car. We want to have good acceleration values.,We want to have all typical RS genes in the car. We want to have good acceleration values.
33,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,4,6,7,2,16,101,0,"We want to, of course, ensure these performance figures. We implemented a V8 4-liter bi-turbo engine.","We want to, of course, ensure these performance figures. We implemented a V8 4-liter bi-turbo engine."
34,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,5,8,8,1,43,221,0,we have actually the engine from the Lamborghini Urus and we have a bigger transmission with massive 800 Nm of torque and with this power output we are able to accelerate the car from 0 to 100 kmph in less than 4 seconds.,we have actually the engine from the Lamborghini Urus and we have a bigger transmission with massive 800 Nm of torque and with this power output we are able to accelerate the car from 0 to 100 kmph in less than 4 seconds.
35,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,6,9,9,1,30,179,0,"If you think about Audi Light we've been introducing innovation constantly, actually thinking out of the box and we thought with digitalization it's time to design out of the box.","If you think about Audi Light we've been introducing innovation constantly, actually thinking out of the box and we thought with digitalization it's time to design out of the box."
36,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,7,10,10,1,14,71,0,"My name is Cesar Montara, I'm the head of the light department at Audi.","My name is Cesar Montara, I'm the head of the light department at Audi."
37,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,8,11,11,1,13,74,0,When you unlock the RS Q8 you will have a completely different experience.,When you unlock the RS Q8 you will have a completely different experience.
38,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,9,12,13,2,16,83,0,You will feel the DNA of the Audi Sport. The light segments will move much quicker.,You will feel the DNA of the Audi Sport. The light segments will move much quicker.
39,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,10,14,14,1,36,196,0,They will come one after the other in a very quick sequence and then especially in the rear after this quick sequence you will have the light band switching on and it makes something very special.,They will come one after the other in a very quick sequence and then especially in the rear after this quick sequence you will have the light band switching on and it makes something very special.
40,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,11,15,17,3,20,125,0,The rhythm is completely different. It's a bit like an acceleration. It's telling you you're going to feel something special.,The rhythm is completely different. It's a bit like an acceleration. It's telling you you're going to feel something special.
41,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,12,18,18,1,31,167,0,First time ever in the RS Q8 we offer our typical known RS super sport seats with the honeycomb stitching for the first time with the massage and the cooling function.,First time ever in the RS Q8 we offer our typical known RS super sport seats with the honeycomb stitching for the first time with the massage and the cooling function.
42,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,13,19,19,1,35,201,0,This is completely new in the RS Q8 and this also gives the car this changeable character from driving really sporty to driving really comfortable and this is reflected in our suspension offer as well.,This is completely new in the RS Q8 and this also gives the car this changeable character from driving really sporty to driving really comfortable and this is reflected in our suspension offer as well.
43,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,14,20,20,1,27,133,0,So we have in the RS Q8 a standard air suspension and this allows the customer to adapt the car to the surface and the driving style.,So we have in the RS Q8 a standard air suspension and this allows the customer to adapt the car to the surface and the driving style.
44,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,15,21,21,1,19,88,0,What we of course open is a kind of a new dimension of RS interpretation with the RS Q8.,What we of course open is a kind of a new dimension of RS interpretation with the RS Q8.
45,Audi 2020 Audi RS Q8 Defined; Overview (1080p 24fps H264 128kbit AAC),2,16,22,22,1,32,140,0,It is a challenge to make a real RS out of this huge body style and huge car but in the end we were trying to do so and we successfully did.,It is a challenge to make a real RS out of this huge body style and huge car but in the end we were trying to do so and we successfully did.
46,Audi 2021 Audi A4 Walkaround (1080p 30fps H264 128kbit AAC),3,1,1,1,1,13,69,0,"Thank you for your interest, and welcome to the 2021 Audi A4 Quattro.","Thank you for your interest, and welcome to the 2021 Audi A4 Quattro."
47,Audi 2021 Audi A4 Walkaround (1080p 30fps H264 128kbit AAC),3,2,2,2,1,22,125,0,"With inspiration from the past and technology from the future, the Audi A4 embodies what a modern day sports sedan should be.","With inspiration from the past and technology from the future, the Audi A4 embodies what a modern day sports sedan should be."
48,Audi 2021 Audi A4 Walkaround (1080p 30fps H264 128kbit AAC),3,3,3,3,1,32,195,0,"Timeless and purposeful looks, luxurious and sporty interior, along with driving dynamics that will make you never want to get out, the A4 Quattro embodies the Audi brand in one cohesive package.","Timeless and purposeful looks, luxurious and sporty interior, along with driving dynamics that will make you never want to get out, the A4 Quattro embodies the Audi brand in one cohesive package."
49,Audi 2021 Audi A4 Walkaround (1080p 30fps H264 128kbit AAC),3,4,4,4,1,21,108,0,"With two engines, the 40 and 45 TFSI, and three trims, you can certainly find the A4 that's perfect for you.","With two engines, the 40 and 45 TFSI, and three trims, you can certainly find the A4 that's perfect for you."
50,Audi 2021 Audi A4 Walkaround (1080p 30fps H264 128kbit AAC),3,5,5,5,1,49,293,0,"Some standard features on the A4 include LED headlights with high beam assist and tail lights with dynamic turn signals, kick to release trunk, 10.1 inch center touch screen display with Apple CarPlay and Android Auto, full leather seating surfaces with heated front seats and much, much more.","Some standard features on the A4 include LED headlights with high beam assist and tail lights with dynamic turn signals, kick to release trunk, 10.1 inch center touch screen display with Apple CarPlay and Android Auto, full leather seating surfaces with heated front seats and much, much more."
51,Audi 2021 Audi A4 Walkaround (1080p 30fps H264 128kbit AAC),3,6,6,6,1,19,108,0,"And with the available 19 speaker Bang & Olufsen sound system, the A4 can be your own personal concert hall.","And with the available 19 speaker Bang & Olufsen sound system, the A4 can be your own personal concert hall."
52,Audi 2021 Audi A4 Walkaround (1080p 30fps H264 128kbit AAC),3,7,7,7,1,12,63,0,Come down to Audi Dallas and drive the A4 Quattro for yourself.,Come down to Audi Dallas and drive the A4 Quattro for yourself.
53,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,1,1,1,1,26,161,0,"Given the currently difficult conditions for traveling and events, we've decided to opt for a static vehicle presentation and do so on a purely digital platform.","Given the currently difficult conditions for traveling and events, we've decided to opt for a static vehicle presentation and do so on a purely digital platform."
54,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,2,2,3,2,20,98,0,"But this is not going to be a one-way communication. No, we want to engage in a dialogue with you.","But this is not going to be a one-way communication. No, we want to engage in a dialogue with you."
55,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,3,4,5,2,32,174,0,"So, the event is split up into three parts. Following the reveal of the Q5, Ashley Cleave, as the exterior designer, will talk us through all the details of the reworked car.","So, the event is split up into three parts. Following the reveal of the Q5, Ashley Cleave, as the exterior designer, will talk us through all the details of the reworked car."
56,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,4,6,6,1,23,120,0,"This is followed by Kristian Koenig, who will be in dialogue with me to talk you through the engineering side of the Q5.","This is followed by Kristian Koenig, who will be in dialogue with me to talk you through the engineering side of the Q5."
57,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,5,7,8,2,17,107,0,"He's project manager in the technical development. And as the third here, I'm introducing to Michaela Benz.","He's project manager in the technical development. And as the third here, I'm introducing to Michaela Benz."
58,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,6,9,9,1,21,112,0,She is product speaker responsible for the Q5 and thus the expert for all issues to do with marketing and sales.,She is product speaker responsible for the Q5 and thus the expert for all issues to do with marketing and sales.
59,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,7,10,10,1,12,71,0,"Together, we're all All available after the presentation for your Q&As.","Together, we're all All available after the presentation for your Q&As."
60,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,8,11,11,1,26,154,0,"But of course, already during the presentation, you're free to send in your questions by writing into the chat window, and we will answer them afterwards.","But of course, already during the presentation, you're free to send in your questions by writing into the chat window, and we will answer them afterwards."
61,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,9,12,12,1,27,145,0,"Then we'll start the second part of the sneak preview, and that is the individual photo and VJ session if you have registered your need up front.","Then we'll start the second part of the sneak preview, and that is the individual photo and VJ session if you have registered your need up front."
62,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,10,13,13,1,13,66,0,"So dear guests, the Q5 is the most successful SUV model from Audi.","So dear guests, the Q5 is the most successful SUV model from Audi."
63,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,11,14,15,2,30,149,0,It started in the summer of 2008. It became the first model generation of Q5 that was built up until the fall of 2016 with 1.6 million units shipped.,It started in the summer of 2008. It became the first model generation of Q5 that was built up until the fall of 2016 with 1.6 million units shipped.
64,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,12,16,16,1,18,111,0,"The second generation since then has continued on the success, and after four years receives a product upgrade.","The second generation since then has continued on the success, and after four years receives a product upgrade."
65,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,13,17,17,1,13,68,0,Now what are the features that make the Q5 worldwide such a success?,Now what are the features that make the Q5 worldwide such a success?
66,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,14,18,18,1,80,535,0,"Well, it's definitely its appealing design, its versatility and variability but also its everyday usability and of course it's greatly appreciated because of its sportiness and driving performance because ultimately the Q5 carries the technology topic of Quattro quite exemplary in two versions that's particularly efficient Quattro with ultra technology or as the well-known and tried and tested Quattro with Torsen mid diff but of course there's other engine transmission versions available with front wheel drive but we'll come back","Well, it's definitely its appealing design, its versatility and variability but also its everyday usability and of course it's greatly appreciated because of its sportiness and driving performance because ultimately the Q5 carries the technology topic of Quattro quite exemplary in two versions that's particularly efficient Quattro with ultra technology or as the well-known and tried and tested Quattro with Torsen mid diff but of course there's other engine transmission versions available with front wheel drive but we'll come back"
67,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,15,18,19,2,15,74,0,"to that later. But now, I don't want to keep you much longer, dear guests.","to that later. But now, I don't want to keep you much longer, dear guests."
68,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,16,20,21,2,23,101,0,"Here it is, the new Audi Q5 in its new look. So I have the pleasure of taking you through the new Q5.","Here it is, the new Audi Q5 in its new look. So I have the pleasure of taking you through the new Q5."
69,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,17,22,22,1,15,79,0,"We start with the front, with the Audi icon, of course the single frame grille.","We start with the front, with the Audi icon, of course the single frame grille."
70,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,18,23,23,1,19,99,0,What we've done here is we've separated it now from the bonnet here and moved the whole thing down.,What we've done here is we've separated it now from the bonnet here and moved the whole thing down.
71,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,19,24,24,1,23,111,0,It's now wider and shares the octagonal grille that you'll see in all of the other Q cars that we have at Audi.,It's now wider and shares the octagonal grille that you'll see in all of the other Q cars that we have at Audi.
72,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,20,25,25,1,37,202,0,What we've also done is created a new headlight of course with a new daytime running light signature and this is now together with the single frame grille producing a much more focused look for the car.,What we've also done is created a new headlight of course with a new daytime running light signature and this is now together with the single frame grille producing a much more focused look for the car.
73,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,21,26,26,1,41,199,0,At the sides this is the S line car so it's the more sporty looking exterior and we've kind of gone in the direction of the RS cars and integrated a more vertical kind of air intake at the side here.,At the sides this is the S line car so it's the more sporty looking exterior and we've kind of gone in the direction of the RS cars and integrated a more vertical kind of air intake at the side here.
74,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,22,27,27,1,69,350,0,If we move around to the side we can go past the optional 21 inch Audi Sport wheel and then you see here we've kept the shoulder line from the existing Q5 design however we've added a new rocker at the bottom which works slightly like a bridge to support this the shoulder line makes the car look more athletic and then if we move around to the rear.,If we move around to the side we can go past the optional 21 inch Audi Sport wheel and then you see here we've kept the shoulder line from the existing Q5 design however we've added a new rocker at the bottom which works slightly like a bridge to support this the shoulder line makes the car look more athletic and then if we move around to the rear.
75,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,23,28,29,2,14,64,0,"We start at the bottom, work our way up. We have a new diffuser.","We start at the bottom, work our way up. We have a new diffuser."
76,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,24,30,31,2,18,111,0,It's a little bit more sporty than before. We've got more integrated design elements and more athletic feeling.,It's a little bit more sporty than before. We've got more integrated design elements and more athletic feeling.
77,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,25,32,32,1,12,72,0,"Moving upwards, of course, we have our new Audi digital OLED taillights.","Moving upwards, of course, we have our new Audi digital OLED taillights."
78,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,26,33,33,1,33,170,0,"This is a world first in this segment and it allows us to offer all of our customers three individual signatures, but Mike will tell us a little bit more about that soon.","This is a world first in this segment and it allows us to offer all of our customers three individual signatures, but Mike will tell us a little bit more about that soon."
79,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,27,34,34,1,25,127,0,We've then joined the two tail lights with this with this bar to really bring the car together and give it a much fresher look.,We've then joined the two tail lights with this with this bar to really bring the car together and give it a much fresher look.
80,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,28,35,35,1,20,92,0,So with that I'll give you back over to Mike and he can tell you more about the tail lights.,So with that I'll give you back over to Mike and he can tell you more about the tail lights.
81,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,29,36,37,2,41,220,0,"Thanks a lot Ashley for your explanations. Well I must say I do like this fresh look very much and I'm quite convinced that, well, design will remain the key purchase argument for the Q5 from the customers buying the Q5.","Thanks a lot Ashley for your explanations. Well I must say I do like this fresh look very much and I'm quite convinced that, well, design will remain the key purchase argument for the Q5 from the customers buying the Q5."
82,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,30,38,38,1,16,89,0,"Now, as you know, Audi has been for some time a by-word for progressive light technology.","Now, as you know, Audi has been for some time a by-word for progressive light technology."
83,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,31,39,39,1,14,83,0,"Now, Ashley already has stressed the new digital OLED technology in the rear light.","Now, Ashley already has stressed the new digital OLED technology in the rear light."
84,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,32,40,41,2,22,115,0,We would like to show you that in more detail now. OLED is an acronym that stands for organic light emitting diode.,We would like to show you that in more detail now. OLED is an acronym that stands for organic light emitting diode.
85,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,33,42,42,1,23,149,0,"So OLEDs are particularly efficient organic light diodes, which unlike the conventional LED provide a homogenous light over pretty far and big areas.","So OLEDs are particularly efficient organic light diodes, which unlike the conventional LED provide a homogenous light over pretty far and big areas."
86,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,34,43,43,1,18,92,0,"The customers of the Q5 can, when they order a car, pick one of three rear light signatures.","The customers of the Q5 can, when they order a car, pick one of three rear light signatures."
87,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,35,44,44,1,13,79,0,And every signature has a very specific coming and leaving home light scenario.,And every signature has a very specific coming and leaving home light scenario.
88,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,36,45,45,1,16,76,0,What you can see here is the leaving home function when you open up the car.,What you can see here is the leaving home function when you open up the car.
89,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,37,46,46,1,27,148,0,"Now, this animation of signature 1, 2 and 3, as well as a fourth signature, can be activated when you activate the out-of-drive select vote dynamic.","Now, this animation of signature 1, 2 and 3, as well as a fourth signature, can be activated when you activate the out-of-drive select vote dynamic."
90,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,38,47,47,1,13,84,0,"Now, another function of the digital OLED rear light is the approximation detection.","Now, another function of the digital OLED rear light is the approximation detection."
91,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,39,48,48,1,22,131,0,"If another traffic user or traffic participant comes closer to Q5, anywhere to two meters, all the OLED segments will be activated.","If another traffic user or traffic participant comes closer to Q5, anywhere to two meters, all the OLED segments will be activated."
92,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,40,49,49,1,14,78,0,"But, if the Q5 gets going again, the original light signature shines up again.","But, if the Q5 gets going again, the original light signature shines up again."
93,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,41,50,50,1,24,123,0,The basic fitting with the Q5 are now at the front LED headlights and as an option you can also have matrix LED headlights.,The basic fitting with the Q5 are now at the front LED headlights and as an option you can also have matrix LED headlights.
94,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,42,51,51,1,22,129,0,And once you've arrived at your destination and you close the Q5 you have a so-called coming home light function being processed.,And once you've arrived at your destination and you close the Q5 you have a so-called coming home light function being processed.
95,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,43,52,52,1,15,84,0,And here again each of the signatures has its very own and distinct light signature.,And here again each of the signatures has its very own and distinct light signature.
96,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,44,53,54,2,24,131,0,"What we can see here is the light signature 134. Now, the latest infotainment generation, the MIB3, is now also deployed in the Q5.","What we can see here is the light signature 134. Now, the latest infotainment generation, the MIB3, is now also deployed in the Q5."
97,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,45,55,55,1,25,143,0,A joint demonstration of some of the features have in the cabin been done due to corona and therefore been pre-recorded in this following clip.,A joint demonstration of some of the features have in the cabin been done due to corona and therefore been pre-recorded in this following clip.
98,Audi 2021 Audi Q5 Reveal (1080p 25fps H264 128kbit AAC),4,46,56,56,1,15,81,0,"When you come, the car will instantly ask you what is the desired driver profile.","When you come, the car will instantly ask you what is the desired driver profile."
