title,document,topic
"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end.,0
"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)","It moves. The handling was spectacular, I thought. Handles really well.",0
"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",Like no money in my boxcar. He was having far too much fun. All the technology is easy to use.,0
"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)","It's intuitive. Well, frankly, one of the best features is all the extra leg room in the back. My wife was commenting on how nice the lighting system was in the car and how easy it was to see the road.",0
"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",I went and put them on brights. It was like full moon.,0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"Hey, Tyson. Hey, Lee. How you doing?",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),Doing great. How are you? Good.,0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"Awesome. Beautiful car, isn't it? It is a beautiful design.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),Yes. John and Kate and his design team did an excellent job. Absolutely.,0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"But what do you say we get inside the car and take it for a spin? Yeah, let's go. All right.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"Looks like we've got a nice-looking trio of ILXs, Lee. Yes, we have three models, which we think are the perfect blend of performance and efficiency. Nice.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),Let's start here with 's first hybrid. It's a 1.5-liter hybrid system with a CVT transmission. What's this one over here?,0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"The black car is a 2.4 liter engine, putting out 201 horsepower, made it to a six-speed manual transmission. Nice. A little bit more sporty on this one.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),Absolutely. Okay. What about this one over here?,0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"Yep. What we think is going to be our most popular model. It's a 2.0 liter engine, putting out 150 horsepower.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),It's made it to a five-speed automatic transmission. Right. Nice blend of features for each person that's in the market for a car like this.,0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),Hopefully something for everybody. I noticed that the car definitely stays planted when I'm cornering like this. Are there any suspension improvements that were made?,0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),This vehicle does have amplitude reactive dampers to help to keep the body flat and keep control over the bumps. I really like the way has put a lot of the features and functionality into keeping connected whether it be by music or by the phone. Definitely got a lot of connectivity to the driver and I think that's what really makes such a driver's brand is the ability of someone to personalize and really make the car their own.,0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"Absolutely. The key point of the driver is to drive, but we understand that connectivity and entertainment are high priorities, so we try to put the features and the controls where they need to be that's more easily usable. And then with an, I've come to expect things like a quiet road driving experience.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"So what kind of measures were taken on your end to make sure that the driver's somewhat isolated from those noises? Yeah, there's extra insulation placed throughout the vehicle, inside the cabin and in the engine bay throughout the vehicle that help keep that unwanted noise outside the car. Right.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"Hey, Lee, is there anything about fuel economy in terms of measures that were taken to make sure that the performs the way it should? Absolutely.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"Quite a few things, starting from the aerodynamics of the car, not only the overall shape, but things like the underbody covers that are designed to help air slip through the bottom of the vehicle, all the way to things like tires, having the right rubber compound for minimum rolling resistance, and then things like transmission tuning, engine tuning, all done for maximum fuel economy. This has been a really fun drive.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),"I think I might want to take this one on my next road trip. Yeah, definitely. Let's see what we can do.",0
Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),Maybe we can get you behind the wheel of one of these cars. All right.,0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"Thank you, John. Thank you. Good afternoon, everyone.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"It's great to begin the new year in Detroit with the team. After a very challenging year in 2011, we started in 2012 with great momentum. Today, I am happy to introduce a car that demonstrates our passion for performance and for the brand.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),I first became involved with about 25 years ago. So young. I led a team of young engineers developing the body of a new supercar that would become the.,0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"It was the biggest engineering challenge of our lives. Through our approach to create a lightweight supercar with an all-aluminum body, the became an icon. Its key attribute was power-to-weight ratio, which helped provide a fun-to-drive experience to anyone who got behind the wheel.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"Since production of ended in 2005, we have strived to create a worthy successor. Yet many global changes have affected the automobile industry since that time. In this new era, even as we focus on the fun-to-drive spirit of the, I think a supercar must respond to environmental responsibilities.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"To achieve this, the vehicle I share with you today will have two very important traits. First, it will have advanced technology that enhances fun-to-drive handling and performance. Second, it will express our own core values to create and sustain a world where people can enjoy life.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"So, we will again express high performance through engineering efficiency, and that's something unique to DNA. This concept is powered by a mid-engine V6 and a new -exclusive sport hybrid super handling all-wheel drive system. This system will make the ultimate expression of the idea to create synergy between man and machine.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"will make the driver one with the car to enhance dynamic driving without getting in the way. Our vision is to achieve performance that is up to the challenge of racing. So while we created this concept for our customers, you might see on the racetrack as well.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),A vehicle that is closely based on this concept will come to market within three years on a global basis. And today I am excited to announce that this new actual supercar will be developed by an R&D team in the United States. And we will build it in Ohio as well.,0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"We will continue to strengthen the brand here, not only in sales, but development and manufacturing as well. In this way, the U.S. will be the strong hub of our global business for the brand. is already in China, and starting next year, we will expand to some of the world's growth sectors such as the United Arab Emirates and Saudi Arabia, as well as last year and Ukraine.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"Along with the team and Global, I am excited about this new model, and I sincerely hope our customers around the world will share our passion. Thank you. Thank you.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"Thank you, Mr. Ito. With the new sedan at the gateway to our lineup and the concept as the pinnacle of the brand, I think you can see that every vehicle is being designed to evoke passion and joy. Thank you for being with us.",0
Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),"Now Mr. Ito will be available for a few quick photos, then please join us and the rest of the team on stage for a closer look at the future of.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"We're here at the streets of Willow Springs racetrack. brought us out. This is a sponsored video, by the way.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"I'm just super excited. They have this super, super car. Well, that's something I didn't anticipate, which is we're not even at the right track.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),We're at the right location. This is the right place. This is also the biggest Sam & Nico brand integration we've ever had.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"And we went to the wrong commercial set. And we, yeah, well, there's some cameras. That's probably where we need to go.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Nope, but there's multiple tracks here. And so we actually have to drive a mile within this location to get to the other racetrack, where the shoot is taking place. They're gonna want to film later at night, so they can show off some LED lights.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"118 and we have to wait till sunset even have the show started. We're out near Edwards Force Base, which is where Will Smith went in Independence Day and go see it and maybe even drive it. An expensive car, but because of that it's really cool.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"And I'm on board with this because it means I get to go check out all the cool features of this car. It's got like several different electric motors and all that dude. Dude, this is a carbon, this is an indestructible roof.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Dude, they got a carbon fiber engine? Wow. Oh.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Sir, come on. Oh, okay. Get a little too close.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Okay, yeah, sounds good. They're not gonna let me drive it, but I really, really wanna drive it. Oh, look at that heat exchange here.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Back is so long, man. We're here at golden hour. Buddy Jason from Engineering Explained.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Hello. Hey, man. He has the YouTube channel Engineering Explained basically talks all about how cars work.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"We have a very fancy car here. There's a 3.5 liter twin-turbo V6 in the back powering the rear axle. Sandwiched between that engine and the transmission is a direct drive motor, so you've got an additional electric motor, and then you've got two electric motors up front, one for each wheel.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"So there's two motors working at the exact same time? Yep. So there's a V6 engine in the back and then behind that V6 engine there's another direct drive motor, and then so that electric motor is actually linked up to the crankshaft of this engine, and then it's all sending all of that torque from the engine and the motor to the rear transmission and then splitting it to the two rear wheels.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),So this has a limited slip differential in the back so if one wheel is slipping it will send more torque to the other wheel. Okay I don't know that much about cars. But I do know a thing or two about electric motors.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"So you said there's two electric motors attached to each of the front wheels basically allows the tires to rotate separately. They're not locked together. One electric motor for each front wheel, correct?",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"You can have one motor sending torque to one wheel, you can have both motors sending torque to both wheels. You can even have a negative torque applied to one wheel and a positive torque applied to the other wheel. So this is a hybrid car.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"This is a hybrid, but it's not like the classic hybrid where you're saving gas mileage. Let it in at home you press your foot down, you get the immediate torque of the electric motors while that turbo engine is spooling up and then gives you full power. Okay, so that's how it's like in my car where it's like I'll be sitting at a stoplight and I'll slam the pedal down and like what happened?",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Okay, now it's starting to go because the motor has to like rev up and that's it. Yeah, that's how it's like in your car. Yeah, as you're coming up to a corner the second you let off the throttle it starts regen braking.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"So before you even on the brake, so let's say we're coming around this bank right here, this tire right here is gonna have a negative torque applied to it and an outside tire can actually rotate faster than the inside wheel to help push the car out of the corner and accelerate you out. What do you mean by negative torque? As in it's regenerating energies.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),Electricity is being taken from the braking of the motors. It's turning the wheel into an electric generator and capturing that energy which causes you to slow down. And it helps you rotate the car because you have a larger negative torque to that inside wheel so that's creating a yaw moment to rotate that vehicle.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),Yaw. Yaw. Yaw way.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),And that's actually super cool because in normal cars you only get positive torque when you hit the throttle. Traditionally with car tires it'll go the direction the wheels are pointed but if you're riding around a racetrack really fast...,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),If you're coming in too fast to that corner and it sees that you're about to oversteer which means the back of the car is gonna rotate around you and you're gonna spin out it'll break those outside tires to prevent that from happening. No way.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),Now if you come in and you turn the wheel too much and it can't actually turn the car it'll break the inside tires that's called understeer so that it'll actually help rotate the car for you. Okay. So that's more like when you're in a boat or like a kayak or something and you just put the paddle in the water on one side it drags you that direction.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Absolutely. Okay, so it's literally just you're riding down the racetrack and it's like just like throwing it down on the ground just to kind of drag you that direction. Yeah, except it's not a boat.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),It's a car. That sounds like magic. The floor plates under your feet are made out of carbon fiber.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),I've never in my life heard of a car that's even remotely similar to this. Can I drive it? I just want to drive it.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),Really? No. But I'll take you for a spin.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),I'll settle for that. All right. It's okay.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),Okay. Get it? Okay.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Catherine. Catherine, I'm Ren. How are you?",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),I'm doing pretty good. So you must be wondering what's going on right now. A little bit.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),Do you drive cars often? I race right here. What's that?,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),This thing. I'll just walk. I never have before.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"So you brake going into the turn and try and brake in as straight a line as possible because they're really, really good. And the steering is very direct, as you can feel, and basically it's a very responsive car. So Jason was telling me, like, electric motors themselves, they compensate for, like, depending on the orientation of the steering wheel, right?",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"So, would you want, I mean, can I, can I drive it? On the brake. Okay, foot on brake?",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"No, you are. He gets to drive? They just switched he gets to drive after all that no.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),You know what? You should check out engineering explained on YouTube videos about how cars work. I'm kind I play by the rules.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),I'm like Ren here. You should let me drive the car. How was his driving?,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),The car is incredible. I've never even been in any car nearly this fast. Are both of the other episodes going on your channel?,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),They're gonna be on engineering explained. It's a YouTube channel about how cars work. I don't have a channel.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),We got a super car driver here. Race car driver. Yeah.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Man, even my terminology sucks here. Why am I even here? Why did you guys choose me?",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Jason, thank you. But more importantly, Catherine, thank you so much. That was, I will be thinking about that ride for months.",0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),Thank you. That was awesome. It was great getting to ride.,0
Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),"Now, can I just keep the car? You don't get to drive it anymore, at all. That's, but if you take the keys, they might not notice.",0
"Acura Acura Tyson Hugie Visits Greensburg, IN for ILX Line Off Ceremony (1080p 30fps H264 128kbit AAC)","Today I am in the manufacturing facility in Greensburg, Indiana. This morning we had a ceremony. It's called the lineup event, where the very first production came off the assembly line, and we were able to hear from some of the executives and folks who've made this happen.",0
"Acura Acura Tyson Hugie Visits Greensburg, IN for ILX Line Off Ceremony (1080p 30fps H264 128kbit AAC)","The rubber hits the road and the is going out on the streets, so how does it feel to get to this point finally? Oh, this is a big day. Building this vehicle, this in Indiana, it's usually exciting to me, but it has to be even more exciting to the people that are actually building the car.",0
"Acura Acura Tyson Hugie Visits Greensburg, IN for ILX Line Off Ceremony (1080p 30fps H264 128kbit AAC)","When they get to hit that button and it rolls off the end of the line, that's got to be amazing. I know something that's really significant about this launch is that the car now is being made in the Indiana facility, which has never been made here before. This plant, you may or may not know, was a 2011 JD Power Platinum Award winner.",0
"Acura Acura Tyson Hugie Visits Greensburg, IN for ILX Line Off Ceremony (1080p 30fps H264 128kbit AAC)","So there are very, very few plants anywhere in the world that can achieve that level of significance. It also represents the new higher quality level that we're expecting out of this vehicle and out of this plant. So everybody had to step up and raise their game a little bit.",0
"Acura Acura Tyson Hugie Visits Greensburg, IN for ILX Line Off Ceremony (1080p 30fps H264 128kbit AAC)","Every time one of these people takes their glove and runs it over to the car, they're evaluating surfaces. Then the people in the quality evaluation at the end of the line are making sure all that came together just perfectly. And something I've come to expect from is precision.",0
"Acura Acura Tyson Hugie Visits Greensburg, IN for ILX Line Off Ceremony (1080p 30fps H264 128kbit AAC)",And I think precision is really a cure to in this plant. I think it would be a good fit for the test driver position. Can I sign up for that?,0
Acura Acura Tyson Hugie Visits the ILX National Press Event (1080p 30fps H264 128kbit AAC),"So, three 's all lined up for us. Handsome looking trio. Yes they are.",0
Acura Acura Tyson Hugie Visits the ILX National Press Event (1080p 30fps H264 128kbit AAC),"They're all shined up. We really appreciate you coming out and joining the rest of the journalists, Tyson. In fact, this is your first time at a national press event.",0
Acura Acura Tyson Hugie Visits the ILX National Press Event (1080p 30fps H264 128kbit AAC),Exactly. I didn't know what to expect. Came in and I've just been amazed at the hospitality and the level of involvement that takes in helping convey their love of this vehicle to the press and the media.,0
Acura Acura Tyson Hugie Visits the ILX National Press Event (1080p 30fps H264 128kbit AAC),"And that's what it's all about. The fact that you can interface with people from executive level, sales, marketing, R&D, product planning. I was able to meet three of the design team from the Tochigi Japan office where the was designed and I asked them to take a picture with them.",0
Acura Acura Tyson Hugie Visits the ILX National Press Event (1080p 30fps H264 128kbit AAC),They proudly stood in front of this car because it's a work of art and it's something that they have crafted from just an idea and here it is finally rolling down the road. I think a lot of people probably don't realize that almost one year out that design gets locked in. So you think about the planning that has to take place.,0
Acura Acura Tyson Hugie Visits the ILX National Press Event (1080p 30fps H264 128kbit AAC),"It's like a finely tuned Swiss watch to be able to pull that process together. It makes me, you know, confident that the vehicle has been well engineered, that everything has been thought of. And started its foundation with the slogan precision crafted performance.",0
Acura Acura Tyson Hugie Visits the ILX National Press Event (1080p 30fps H264 128kbit AAC),"And today, you know, many years later is still driving that level of development into even an entry-level offering. One of the things that I love about what the design team has done with the is that they haven't forgotten the performance-minded person. If you get the six-speed manual transmission, you're getting all of that driver involvement that someone like me loves to have, that connectivity with the road.",0
Acura Acura Tyson Hugie Visits the ILX National Press Event (1080p 30fps H264 128kbit AAC),"Anybody who knows me knows that I have a sense of adventure. It's all about finding a new destination, an uncharted road, any kind of fun place to go that I've never been before, and it's not just about the car being an appliance. It's about a carbine expression of yourself.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p 30fps H264 128kbit AAC),"Ladies and gentlemen, Executive Vice President of the Business Planning Office, Mr. Eric Berkman. Well, good morning, folks, and thanks for joining us today. This is a big day for the brand.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p 30fps H264 128kbit AAC),"We're here today for the exciting world debut of the new, a vehicle that reflects 's American roots. The makes a powerful statement about the strong role being played by our North American operations in envisioning and building the future of. Starting today, you will see focus even more strongly on our core values and DNA as a challenger brand, breaking some rules and doing the unexpected to create new value for luxury buyers.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p 30fps H264 128kbit AAC),"Looking forward, you can expect premium products that place even greater emphasis on dynamic design, premium content, and exhilarating performance. Three years ago, we announced that we were creating a next-generation supercar, but we didn't stop there. We also announced that a U.S. R&D team would lead the development and that America would be the exclusive global production home for.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p 30fps H264 128kbit AAC),"Today we're here to deliver on that promise, but the all-new represents more than just a real supercar. It heralds a sharpened focus on our sports heritage and is a vehicle that achieves precision-crafted performance and incredible joy-inducing synergy between the driver and machine. For the brand, it all starts now.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p 30fps H264 128kbit AAC),"Ladies and gentlemen, the Senior Vice President and General Manager of the Division, Mr. Mike Accovetti. Good morning. Hi, everyone.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p 30fps H264 128kbit AAC),"It's great to be back in Detroit. In each of the past two years, I took the stage here and introduced important products to the brand, new vehicles that would deliver on core values and that have created powerful momentum. Of course, I'm talking about the MDX, the best-selling luxury three-row SUV over the past 10 years here in America, and the TLX, which has quickly become one of our best-selling vehicles.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p 30fps H264 128kbit AAC),"Further, in Los Angeles, we announced plans to strengthen the gateway to the lineup with a huge injection of DNA into the 2016. So, while the will be a great leap, it builds upon the strong momentum we have created step by step as we advance and energize the brand. I'm very pleased with what we have accomplished over the past two years.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p 30fps H264 128kbit AAC),"The brand was established in America nearly 30 years ago, and those deep American roots support every aspect of our brand. Key products like the MDX and TLX are designed and developed here, and more than 95% of the products we sell are made in America. Now our U.S. R&D team is leading a global group in developing the, which will be produced at our new performance manufacturing center in Ohio.",0
