Topic,Count,Name,Representation,Representative_Docs
9,162,9_prius_toyota_hybrid_prime,"['prius', 'toyota', 'hybrid', 'prime', 'innovative', 'convenience', 'efficiency', 'vehicle', 'drivers', 'driving']","[""Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime."", ""Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius."", ""And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime.""]"
10,159,10_camry_toyota_avalon_sedans,"['camry', 'toyota', 'avalon', 'sedans', 'drivers', 'lane', 'safety', 'prius', 'sedan', 'drive']","['and that goes beyond its array of 10 airbags. All 8th generation Camry models come standard with Toyota Safety Sense P, an advanced suite of active safety technologies like Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, and more.', 'In addition, a handful of Camry Hybrid models rounds out the Camry family.', ""Yeah, that's the same system that we use in the Camry. And you know what?""]"
11,146,11_mustang_mustangs_ford_mach,"['mustang', 'mustangs', 'ford', 'mach', 'suv', 'vehicle', 'vehicles', 'car', 'electric']","[""So I'm always getting asked if the Mustang Mach-E handles like a Mustang, and I can definitely tell you yes."", ""Mustang is a me car. It's about me, it's indulgence. This is a we car."", ""That was Mustang. It was really a mandate of show us what you've got.""]"
12,138,12_crown_toyota_flagship_electrified,"['crown', 'toyota', 'flagship', 'electrified', 'powertrain', 'vehicle', 'performance', 'hybrid', 'platinum', 'driving']","[""When all of these factors are taken together, it's clear that Toyota Crown is a leader, a uniquely electrified flagship with style, performance, and technology. Want to learn more? Discover Toyota Crown today on toyota.com."", ""I sincerely want the world to know what Japan's crown is all about."", 'Two years later, the crown team has manifested a crown for the coming era.']"
13,125,13_exhaust_exhausts_acoustic_noise,"['exhaust', 'exhausts', 'acoustic', 'noise', 'engine', 'sound', 'silent', 'loud', 'quiet', 'car']","[""The exhaust, it doesn't sound like your typical four-cylinder. It has a very aggressive sound."", ""And it's interesting. It's a noise that's meant to sound like an AMG while not trying to sound like an internal combustion engine."", ""The sound of silence is actually a really important concept for us in air acoustics development for the e-tron because it doesn't have a combustion engine it's extremely quiet so that means that all other noise sources will be all the more prominent so we set ourselves the target of making a really really quiet vehicle for the e-tron.""]"
14,112,14_mileage_warranty_toyotacare_warranties,"['mileage', 'warranty', 'toyotacare', 'warranties', 'hybrid', 'toyota', 'hyundai']","[""And two-year unlimited mileage of 24-hour roadside assistance. The strength of RAV4's value is further enhanced in its hybrid grades, which come with an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making them strong choices for long-term ownership."", 'Add in that every new Prius Prime includes ToyotaCare, which provides 2 years or 25,000 miles of scheduled maintenance, along with enhanced 3-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile Hybrid Battery Warranty.', 'along with enhanced three-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile hybrid battery warranty.']"
15,112,15_rims_tires_standard_size,"['rims', 'tires', 'standard', 'size']","['First, LE and XLE grades feature a unique front fascia shape and grille design, as well as alloy wheel designs on the gas and all-wheel drive grades, while SE and XSE grades boast their own distinct lower fascia shape, honeycomb grille, and either 18-inch or 19-inch wheels.', 'So these are our 20-inch multi-spoke wheels. The coupe over there, we have our 19 multi-spoke black wheels, so these are available in black as well.', 'Hybrid SE and XSE, on the other hand, feature 18-inch multi-spoke black sport alloy wheels.']"
16,109,16_tour_grand_bmw_mercedes,"['tour', 'grand', 'bmw', 'mercedes', 'titled', 'volvo', 'series', 'enjoyed']","['of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of One of the most important things is to produce an aviancata with this particular form, which is particularly important.', ""We didn't think about making a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour"", 'of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour']"
17,108,17_xc90_xe90_ex90_xc40,"['xc90', 'xe90', 'ex90', 'xc40', 'g90', 'ex30', 'volvo', 'x5', 'gv70', 'automotive']","[""So now the XC90 gets the same new experience that we've brought to the XC90 or the EX90 and the EX30."", 'And the new XC90 is available to order starting today. This is a very important day for Volvo cars, the EX90 and the XC90 electric and hybrid, two flagships, the best of both worlds.', ""The XC90 is as safe as an XC90 has ever been. It's also more comfortable than ever before.""]"
18,104,18_speakers_jbl_speaker_audio,"['speakers', 'jbl', 'speaker', 'audio', 'subwoofer', 'soundbar', 'playlists', 'bose', 'bass', 'surround']","['And this can all be paired with available JBL Premium Audio with 11 speakers to make the most of these great services.', 'This audio multimedia experience is elevated even further by the available 11-speaker JBL premium audio system, which plays road trip playlists in high fidelity.', 'To make the most of these features, Crown can also be equipped with an 11-speaker JBL premium audio system.']"
19,101,19_climate_heating_hvac_steering,"['climate', 'heating', 'hvac', 'steering', 'vents', 'heated', 'controls', 'temperature', 'warm', 'automatic']","['Plus, the available dual-zone automatic climate control lets drivers and passengers dial in the ideal temperature.', 'Plus, standard dual-zone automatic climate control ensures that the cabin is set to the ideal temperature.', 'An available heated steering wheel, heated and ventilated seats, and dual climate control help keep you cozy no matter the temperature outside.']"
