Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
9,162,9_prius_prius prime_prime_hybrid,,"prius, toyota, hybrid, prime, innovative, convenience, efficiency, vehicle, drivers, driving","hybrid, efficiency, plug, efficient, fuel, drive, new, available","prius, prime, hybrid, toyota, efficiency, fuel, drive, le, estimated","Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime. || Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius. || And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime. || The X-Pro adds LED lights, LED projector headlights, fog lights to illuminate the trail ahead. || More than 20 years ago, the Toyota Prius changed the automotive landscape when it introduced the world to modern hybrid technology. || In the years since it first hit the stage, Prius has grown through four generations, as well as the release of multiple related models."
10,159,10_camry_toyota_safety_trd,,"camry, toyota, avalon, sedans, drivers, lane, safety, prius, sedan, drive","camry, safety, drive, new, available, features, sense, convenience","camry, toyota, safety, trd, drive, prius, convenience, standard","and that goes beyond its array of 10 airbags. All 8th generation Camry models come standard with Toyota Safety Sense P, an advanced suite of active safety technologies like Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, and more. || In addition, a handful of Camry Hybrid models rounds out the Camry family. || Yeah, that's the same system that we use in the Camry. And you know what? || One of those tools is our Ford Racing Simulator in North Carolina. || Camry is getting 39 mpg highway. It has a 2.5 liter engine putting out 203 horsepower. || And here's Camry mixing body color panels right into the black mesh inserts."
11,146,11_mustang_mach_mustang mach_mustangs,,"mustang, mustangs, ford, mach, suv, vehicle, vehicles, car, electric","mustang, mustangs, vehicle, electric, architecture, design, new","mustang, mach, mustangs, vehicle, electric","So I'm always getting asked if the Mustang Mach-E handles like a Mustang, and I can definitely tell you yes. || Mustang is a me car. It's about me, it's indulgence. This is a we car. || That was Mustang. It was really a mandate of show us what you've got. || when you achieve something remarkable, you have caught lightning in a bottle. || Look, the Dodge name became known for standout design and performance. The name Dodge, your name 100 years from now, has become synonymous with baddest, quickest, fastest, dodgiest. || That's what Enzo Ferrari said. And that was the reason why we decided to celebrate this beautiful piece of engineering even more than normally also on the Spyder version."
12,138,12_crown_toyota crown_toyota_japan,,"crown, toyota, flagship, electrified, powertrain, vehicle, performance, hybrid, platinum, driving","crown, sedan, performance, generation, new, story, chief, comfort, development","crown, toyota, japan, platinum, sedan, performance, comfort, development, standard, flagship","When all of these factors are taken together, it's clear that Toyota Crown is a leader, a uniquely electrified flagship with style, performance, and technology. Want to learn more? Discover Toyota Crown today on toyota.com. || I sincerely want the world to know what Japan's crown is all about. || Two years later, the crown team has manifested a crown for the coming era. || The result, frankly, is an epic growth story that rewrote the rule of three to include now four very recognizable rings. || The four rings stand for never standing still. Now it's time for you to take action. || Not many young engineers had such a huge influence that makes me every time proud."
13,125,13_sound_quiet_noise_exhaust,,"exhaust, exhausts, acoustic, noise, engine, sound, silent, loud, quiet, car","sound, quiet, noise, exhaust, sounds, car, engine, wind, acoustic, silence","sound, quiet, noise, exhaust, car, engine, wind, acoustic, silence","The exhaust, it doesn't sound like your typical four-cylinder. It has a very aggressive sound. || And it's interesting. It's a noise that's meant to sound like an AMG while not trying to sound like an internal combustion engine. || The sound of silence is actually a really important concept for us in air acoustics development for the e-tron because it doesn't have a combustion engine it's extremely quiet so that means that all other noise sources will be all the more prominent so we set ourselves the target of making a really really quiet vehicle for the e-tron. || to go because the motor has to like rev up and that's it. || Thanks to a bigger distance to the engine, the temperature window for exhaust gas processing is extended and that means emissions can, with continuously high exhaust temperatures, for example if you drive swiftly over the motorway, can be best reduced. || The Audi wind tunnel, when it was starting, it was an industrial wind tunnel with ground simulation, so a moving round underneath the car before only used in Formula One or because our wind tunnel is so silent we are able to develop more silent cars."
14,112,14_warranty_maintenance_roadside_roadside assistance,,"mileage, warranty, toyotacare, warranties, hybrid, toyota, hyundai","warranty, maintenance, roadside, hybrid, assistance","warranty, roadside, hybrid, toyotacare, assistance, unlimited, mileage, hyundai","And two-year unlimited mileage of 24-hour roadside assistance. The strength of RAV4's value is further enhanced in its hybrid grades, which come with an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making them strong choices for long-term ownership. || Add in that every new Prius Prime includes ToyotaCare, which provides 2 years or 25,000 miles of scheduled maintenance, along with enhanced 3-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile Hybrid Battery Warranty. || along with enhanced three-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile hybrid battery warranty. || Ladies and gentlemen, in the United States, our first fully electric vehicle will start at an MSRP of $74,800 before any federal tax credits. || Even ownership is made easy with an 8-year, 100,000-mile limited warranty for your battery. || Even ownership is made easy with an 8-year, 100,000-mile limited warranty for your battery, and there's also less maintenance."
15,112,15_20_19_black_18,,"rims, tires, standard, size","black, exhaust, available, designs","19, spoke, exhaust, designs, hybrid, standard","First, LE and XLE grades feature a unique front fascia shape and grille design, as well as alloy wheel designs on the gas and all-wheel drive grades, while SE and XSE grades boast their own distinct lower fascia shape, honeycomb grille, and either 18-inch or 19-inch wheels. || So these are our 20-inch multi-spoke wheels. The coupe over there, we have our 19 multi-spoke black wheels, so these are available in black as well. || Hybrid SE and XSE, on the other hand, feature 18-inch multi-spoke black sport alloy wheels. || And they also have a new wheel design so these are going to be 21 inch wheels front and rear. || A new rear bumper and wheel options up to 22 inches on the Q8 Sportback e-tron round out the exterior updates. || And what you can see here is the 19 inch M light alloy wheel double spoke styling 791M in bicolour jet black."
16,109,16_grand tour_tour_grand_audi,,"tour, grand, bmw, mercedes, titled, volvo, series, enjoyed","manager, designer, responsible, episode, product, head, tron, new","tour, grand, audi, designer, responsible, bmw, episode, head, tron","of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of One of the most important things is to produce an aviancata with this particular form, which is particularly important. || We didn't think about making a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour || of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour || Are both of the other episodes going on your channel? They're gonna be on engineering explained. || Once again, my name is Tony Brown, Audi technologist, and I hope to hear from you soon. || My name is Cesar Montara, I'm the head of the light department at Audi."
17,108,17_xc90_ex90_genesis_xc40,,"xc90, xe90, ex90, xc40, g90, ex30, volvo, x5, gv70, automotive","experience, new, electric, pure, car, cars, technology, true, luxury","xc90, ex90, genesis, xc40, g90, recharge, gv60, electric, use, suv","So now the XC90 gets the same new experience that we've brought to the XC90 or the EX90 and the EX30. || And the new XC90 is available to order starting today. This is a very important day for Volvo cars, the EX90 and the XC90 electric and hybrid, two flagships, the best of both worlds. || The XC90 is as safe as an XC90 has ever been. It's also more comfortable than ever before. || The X5 here that hosts a six-cylinder which is tremendously nicely but you combine this technology with quite a various of engines. || The compact vehicles start with a three-cylinder combustion engine, then we have four cylinders in the three, in the X3, and the six-cylinder in X5 and 7 series. || But now as a father of three kids, the X5 is my favorite for the moment."
18,104,18_audio_jbl_speaker_premium,,"speakers, jbl, speaker, audio, subwoofer, soundbar, playlists, bose, bass, surround","audio, premium, speaker, sound, speakers, available, multimedia, experience, watts","audio, jbl, speaker, speakers, connect, watts, immersive, subwoofer, bose","And this can all be paired with available JBL Premium Audio with 11 speakers to make the most of these great services. || This audio multimedia experience is elevated even further by the available 11-speaker JBL premium audio system, which plays road trip playlists in high fidelity. || To make the most of these features, Crown can also be equipped with an 11-speaker JBL premium audio system. || And with the available 19 speaker Bang & Olufsen sound system, the A4 can be your own personal concert hall. || And you just see the music, you see these lines going up and down, so you can actually see sound. || Can you hear it? Extraction, reflect, rise, different angle. Be the clock, control time and space."
19,101,19_climate_temperature_climate control_control,,"climate, heating, hvac, steering, vents, heated, controls, temperature, warm, automatic","climate, temperature, control, heated, cold, air, zone, automatic, hot, controls","climate, temperature, heated, zone, automatic, controls, vents, hvac, degrees, cabin","Plus, the available dual-zone automatic climate control lets drivers and passengers dial in the ideal temperature. || Plus, standard dual-zone automatic climate control ensures that the cabin is set to the ideal temperature. || An available heated steering wheel, heated and ventilated seats, and dual climate control help keep you cozy no matter the temperature outside. || Oh, look at that heat exchange here. Back is so long, man. We're here at golden hour. || You can slide your finger up and down to get the temp a little bit faster and the same thing goes for your fan speed there as well. || The Q8 e-tron's climate control can be set and started remotely, right from the My Audi app or preset to turn on automatically any day and time of the week, even in your garage."
