topic,rank,representative_text
14,3,"BMW recommends Level 2 charging using the wall-mounted BMW i-charging station designed to complement your BMW i-vehicle, which reduces charging time for the BMW i3 to around three and a half hours."
14,4,"With the standard 120-volt household outlet, the battery can be fully charged in 3.5 hours, but with BMW's 220-volt charging station, time is significantly reduced to just 1.5 hours."
14,5,"The ultimate driving machine meets the ultimate goal, sustainability. Meet the first ever BMW i3, designed from the ground up as an electric drive vehicle."
14,6,A new driving lifestyle begins when you touch the start-stop button of the BMW i3.
15,1,finally push the cover upwards until it is clipped in position. The rear seat backrests of the 3 Series Gran Turismo can be adjusted forward to boost cargo capacity or backwards to increase passenger comfort.
15,2,"And then underneath, the center console right here. Alright, also down here in the storage area for the center console."
15,3,"There are also storage nets located on the front seat backrests. In the cargo area, you'll find a holding strap mounted to both the left and right walls."
15,4,"The dual action armrest opens for the driver, Opens for the passenger, one push button, slides all the way back, revealing a place to plug in your phone, that's super smart for your super smart phone."
15,5,"It exposes a giant opening across, takes the center seat belt with it."
15,6,"The back of the car, it's equivalent to the front row because we integrated the design of the front center console."
